dname1,dname2,date,value,unit
10010,鵝,113,116.000000000000,
10010,鵝,112,113.000000000000,
10010,鵝,111,127.000000000000,
10010,鵝,110,136.000000000000,
10010,鵝,109,135.000000000000,
10010,鵝,108,136.000000000000,
10010,鵝,107,137.000000000000,
10010,鵝,106,127.000000000000,
10010,鵝,105,102.000000000000,
10010,鵝,104,78.000000000000,
10010,鵝,103,112.000000000000,
10010,鵝,102,108.000000000000,
10010,鵝,101,90.000000000000,
10010,鵝,100,90.000000000000,
10010,鴨,113,145.000000000000,
10010,鴨,112,146.000000000000,
10010,鴨,111,136.000000000000,
10010,鴨,110,133.000000000000,
10010,鴨,109,124.000000000000,
10010,鴨,108,131.000000000000,
10010,鴨,107,131.000000000000,
10010,鴨,106,143.000000000000,
10010,鴨,105,167.000000000000,
10010,鴨,104,153.000000000000,
10010,鴨,103,144.000000000000,
10010,鴨,102,139.000000000000,
10010,鴨,101,137.000000000000,
10010,鴨,100,151.000000000000,
10010,雞,113,723.000000000000,
10010,雞,112,713.000000000000,
10010,雞,111,710.000000000000,
10010,雞,110,709.000000000000,
10010,雞,109,679.000000000000,
10010,雞,108,664.000000000000,
10010,雞,107,651.000000000000,
10010,雞,106,622.000000000000,
10010,雞,105,599.000000000000,
10010,雞,104,572.000000000000,
10010,雞,103,555.000000000000,
10010,雞,102,534.000000000000,
10010,雞,101,546.000000000000,
10010,雞,100,564.000000000000,
10009,有色肉雞,113,639.000000000000,
10009,有色肉雞,112,638.000000000000,
10009,有色肉雞,111,635.000000000000,
10009,有色肉雞,110,645.000000000000,
10009,有色肉雞,109,630.000000000000,
10009,有色肉雞,108,609.000000000000,
10009,有色肉雞,107,618.000000000000,
10009,有色肉雞,106,609.000000000000,
10009,有色肉雞,105,572.000000000000,
10009,有色肉雞,104,569.000000000000,
10009,有色肉雞,103,547.000000000000,
10009,有色肉雞,102,542.000000000000,
10009,有色肉雞,101,580.000000000000,
10009,有色肉雞,100,622.000000000000,
10009,白肉雞,113,147.000000000000,
10009,白肉雞,112,133.000000000000,
10009,白肉雞,111,126.000000000000,
10009,白肉雞,110,117.000000000000,
10009,白肉雞,109,115.000000000000,
10009,白肉雞,108,101.000000000000,
10009,白肉雞,107,102.000000000000,
10009,白肉雞,106,94.000000000000,
10009,白肉雞,105,82.000000000000,
10009,白肉雞,104,74.000000000000,
10009,白肉雞,103,85.000000000000,
10009,白肉雞,102,69.000000000000,
10009,白肉雞,101,77.000000000000,
10009,白肉雞,100,81.000000000000,
10009,蛋雞,113,60.000000000000,
10009,蛋雞,112,58.000000000000,
10009,蛋雞,111,53.000000000000,
10009,蛋雞,110,55.000000000000,
10009,蛋雞,109,51.000000000000,
10009,蛋雞,108,44.000000000000,
10009,蛋雞,107,39.000000000000,
10009,蛋雞,106,38.000000000000,
10009,蛋雞,105,37.000000000000,
10009,蛋雞,104,35.000000000000,
10009,蛋雞,103,37.000000000000,
10009,蛋雞,102,33.000000000000,
10009,蛋雞,101,34.000000000000,
10009,蛋雞,100,34.000000000000,
10009,火雞,113,23.000000000000,
10009,火雞,112,16.000000000000,
10009,火雞,111,14.000000000000,
10009,火雞,110,17.000000000000,
10009,火雞,109,18.000000000000,
10009,火雞,108,21.000000000000,
10009,火雞,107,19.000000000000,
10009,火雞,106,23.000000000000,
10009,火雞,105,26.000000000000,
10009,火雞,104,23.000000000000,
10009,火雞,103,24.000000000000,
10009,火雞,102,22.000000000000,
10009,火雞,101,21.000000000000,
10009,火雞,100,19.000000000000,
10009,鵝,113,281.000000000000,
10009,鵝,112,241.000000000000,
10009,鵝,111,266.000000000000,
10009,鵝,110,281.000000000000,
10009,鵝,109,305.000000000000,
10009,鵝,108,260.000000000000,
10009,鵝,107,232.000000000000,
10009,鵝,106,240.000000000000,
10009,鵝,105,133.000000000000,
10009,鵝,104,90.000000000000,
10009,鵝,103,446.000000000000,
10009,鵝,102,393.000000000000,
10009,鵝,101,364.000000000000,
10009,鵝,100,358.000000000000,
10009,鴨,113,688.000000000000,
10009,鴨,112,662.000000000000,
10009,鴨,111,683.000000000000,
10009,鴨,110,647.000000000000,
10009,鴨,109,629.000000000000,
10009,鴨,108,657.000000000000,
10009,鴨,107,747.000000000000,
10009,鴨,106,672.000000000000,
10009,鴨,105,602.000000000000,
10009,鴨,104,480.000000000000,
10009,鴨,103,429.000000000000,
10009,鴨,102,401.000000000000,
10009,鴨,101,419.000000000000,
10009,鴨,100,404.000000000000,
10009,雞,113,863.000000000000,
10009,雞,112,854.000000000000,
10009,雞,111,850.000000000000,
10009,雞,110,855.000000000000,
10009,雞,109,844.000000000000,
10009,雞,108,810.000000000000,
10009,雞,107,803.000000000000,
10009,雞,106,776.000000000000,
10009,雞,105,725.000000000000,
10009,雞,104,716.000000000000,
10009,雞,103,701.000000000000,
10009,雞,102,673.000000000000,
10009,雞,101,703.000000000000,
10009,雞,100,736.000000000000,
10008,有色肉雞,113,118.000000000000,
10008,有色肉雞,112,121.000000000000,
10008,有色肉雞,111,131.000000000000,
10008,有色肉雞,110,155.000000000000,
10008,有色肉雞,109,139.000000000000,
10008,有色肉雞,108,132.000000000000,
10008,有色肉雞,107,135.000000000000,
10008,有色肉雞,106,126.000000000000,
10008,有色肉雞,105,132.000000000000,
10008,有色肉雞,104,114.000000000000,
10008,有色肉雞,103,110.000000000000,
10008,有色肉雞,102,120.000000000000,
10008,有色肉雞,101,117.000000000000,
10008,有色肉雞,100,109.000000000000,
10008,白肉雞,113,56.000000000000,
10008,白肉雞,112,65.000000000000,
10008,白肉雞,111,56.000000000000,
10008,白肉雞,110,57.000000000000,
10008,白肉雞,109,62.000000000000,
10008,白肉雞,108,56.000000000000,
10008,白肉雞,107,60.000000000000,
10008,白肉雞,106,53.000000000000,
10008,白肉雞,105,53.000000000000,
10008,白肉雞,104,53.000000000000,
10008,白肉雞,103,56.000000000000,
10008,白肉雞,102,57.000000000000,
10008,白肉雞,101,54.000000000000,
10008,白肉雞,100,56.000000000000,
10008,蛋雞,113,68.000000000000,
10008,蛋雞,112,67.000000000000,
10008,蛋雞,111,62.000000000000,
10008,蛋雞,110,61.000000000000,
10008,蛋雞,109,53.000000000000,
10008,蛋雞,108,52.000000000000,
10008,蛋雞,107,49.000000000000,
10008,蛋雞,106,43.000000000000,
10008,蛋雞,105,41.000000000000,
10008,蛋雞,104,37.000000000000,
10008,蛋雞,103,37.000000000000,
10008,蛋雞,102,34.000000000000,
10008,蛋雞,101,32.000000000000,
10008,蛋雞,100,32.000000000000,
10008,火雞,113,0.000000000000,
10008,火雞,112,0.000000000000,
10008,火雞,111,0.000000000000,
10008,火雞,110,0.000000000000,
10008,火雞,109,1.000000000000,
10008,火雞,108,1.000000000000,
10008,火雞,102,0.000000000000,
10008,火雞,101,1.000000000000,
10008,火雞,100,1.000000000000,
10008,鵝,113,7.000000000000,
10008,鵝,112,6.000000000000,
10008,鵝,111,8.000000000000,
10008,鵝,110,10.000000000000,
10008,鵝,109,11.000000000000,
10008,鵝,108,10.000000000000,
10008,鵝,107,7.000000000000,
10008,鵝,106,6.000000000000,
10008,鵝,105,2.000000000000,
10008,鵝,104,2.000000000000,
10008,鵝,103,8.000000000000,
10008,鵝,102,7.000000000000,
10008,鵝,101,7.000000000000,
10008,鵝,100,12.000000000000,
10008,鴨,113,24.000000000000,
10008,鴨,112,23.000000000000,
10008,鴨,111,33.000000000000,
10008,鴨,110,65.000000000000,
10008,鴨,109,54.000000000000,
10008,鴨,108,60.000000000000,
10008,鴨,107,59.000000000000,
10008,鴨,106,63.000000000000,
10008,鴨,105,39.000000000000,
10008,鴨,104,35.000000000000,
10008,鴨,103,28.000000000000,
10008,鴨,102,28.000000000000,
10008,鴨,101,29.000000000000,
10008,鴨,100,32.000000000000,
10008,雞,113,251.000000000000,
10008,雞,112,254.000000000000,
10008,雞,111,248.000000000000,
10008,雞,110,254.000000000000,
10008,雞,109,246.000000000000,
10008,雞,108,238.000000000000,
10008,雞,107,227.000000000000,
10008,雞,106,211.000000000000,
10008,雞,105,212.000000000000,
10008,雞,104,204.000000000000,
10008,雞,103,202.000000000000,
10008,雞,102,201.000000000000,
10008,雞,101,194.000000000000,
10008,雞,100,206.000000000000,
10007,有色肉雞,113,253.000000000000,
10007,有色肉雞,112,254.000000000000,
10007,有色肉雞,111,266.000000000000,
10007,有色肉雞,110,257.000000000000,
10007,有色肉雞,109,261.000000000000,
10007,有色肉雞,108,296.000000000000,
10007,有色肉雞,107,305.000000000000,
10007,有色肉雞,106,286.000000000000,
10007,有色肉雞,105,301.000000000000,
10007,有色肉雞,104,315.000000000000,
10007,有色肉雞,103,352.000000000000,
10007,有色肉雞,102,331.000000000000,
10007,有色肉雞,101,314.000000000000,
10007,有色肉雞,100,347.000000000000,
10007,白肉雞,113,202.000000000000,
10007,白肉雞,112,197.000000000000,
10007,白肉雞,111,184.000000000000,
10007,白肉雞,110,181.000000000000,
10007,白肉雞,109,179.000000000000,
10007,白肉雞,108,174.000000000000,
10007,白肉雞,107,152.000000000000,
10007,白肉雞,106,149.000000000000,
10007,白肉雞,105,136.000000000000,
10007,白肉雞,104,127.000000000000,
10007,白肉雞,103,122.000000000000,
10007,白肉雞,102,123.000000000000,
10007,白肉雞,101,123.000000000000,
10007,白肉雞,100,118.000000000000,
10007,蛋雞,113,931.000000000000,
10007,蛋雞,112,925.000000000000,
10007,蛋雞,111,912.000000000000,
10007,蛋雞,110,896.000000000000,
10007,蛋雞,109,878.000000000000,
10007,蛋雞,108,854.000000000000,
10007,蛋雞,107,839.000000000000,
10007,蛋雞,106,826.000000000000,
10007,蛋雞,105,822.000000000000,
10007,蛋雞,104,806.000000000000,
10007,蛋雞,103,798.000000000000,
10007,蛋雞,102,807.000000000000,
10007,蛋雞,101,802.000000000000,
10007,蛋雞,100,811.000000000000,
10007,火雞,113,2.000000000000,
10007,火雞,112,3.000000000000,
10007,火雞,111,5.000000000000,
10007,火雞,110,2.000000000000,
10007,火雞,109,2.000000000000,
10007,火雞,108,3.000000000000,
10007,火雞,107,2.000000000000,
10007,火雞,106,5.000000000000,
10007,火雞,105,4.000000000000,
10007,火雞,104,5.000000000000,
10007,火雞,103,7.000000000000,
10007,火雞,102,9.000000000000,
10007,火雞,101,8.000000000000,
10007,火雞,100,9.000000000000,
10007,鵝,113,25.000000000000,
10007,鵝,112,27.000000000000,
10007,鵝,111,27.000000000000,
10007,鵝,110,26.000000000000,
10007,鵝,109,28.000000000000,
10007,鵝,108,29.000000000000,
10007,鵝,107,36.000000000000,
10007,鵝,106,50.000000000000,
10007,鵝,105,22.000000000000,
10007,鵝,104,18.000000000000,
10007,鵝,103,73.000000000000,
10007,鵝,102,78.000000000000,
10007,鵝,101,80.000000000000,
10007,鵝,100,69.000000000000,
10007,鴨,113,1047.000000000000,
10007,鴨,112,1060.000000000000,
10007,鴨,111,1128.000000000000,
10007,鴨,110,1110.000000000000,
10007,鴨,109,1121.000000000000,
10007,鴨,108,1098.000000000000,
10007,鴨,107,1079.000000000000,
10007,鴨,106,1033.000000000000,
10007,鴨,105,1162.000000000000,
10007,鴨,104,1154.000000000000,
10007,鴨,103,1151.000000000000,
10007,鴨,102,1222.000000000000,
10007,鴨,101,1276.000000000000,
10007,鴨,100,1305.000000000000,
10007,雞,113,1400.000000000000,
10007,雞,112,1392.000000000000,
10007,雞,111,1373.000000000000,
10007,雞,110,1349.000000000000,
10007,雞,109,1325.000000000000,
10007,雞,108,1325.000000000000,
10007,雞,107,1293.000000000000,
10007,雞,106,1269.000000000000,
10007,雞,105,1256.000000000000,
10007,雞,104,1250.000000000000,
10007,雞,103,1268.000000000000,
10007,雞,102,1253.000000000000,
10007,雞,101,1242.000000000000,
10007,雞,100,1262.000000000000,
10005,有色肉雞,113,126.000000000000,
10005,有色肉雞,112,127.000000000000,
10005,有色肉雞,111,129.000000000000,
10005,有色肉雞,110,143.000000000000,
10005,有色肉雞,109,134.000000000000,
10005,有色肉雞,108,151.000000000000,
10005,有色肉雞,107,142.000000000000,
10005,有色肉雞,106,154.000000000000,
10005,有色肉雞,105,149.000000000000,
10005,有色肉雞,104,163.000000000000,
10005,有色肉雞,103,179.000000000000,
10005,有色肉雞,102,187.000000000000,
10005,有色肉雞,101,184.000000000000,
10005,有色肉雞,100,179.000000000000,
10005,白肉雞,113,28.000000000000,
10005,白肉雞,112,24.000000000000,
10005,白肉雞,111,30.000000000000,
10005,白肉雞,110,30.000000000000,
10005,白肉雞,109,30.000000000000,
10005,白肉雞,108,29.000000000000,
10005,白肉雞,107,29.000000000000,
10005,白肉雞,106,27.000000000000,
10005,白肉雞,105,28.000000000000,
10005,白肉雞,104,30.000000000000,
10005,白肉雞,103,38.000000000000,
10005,白肉雞,102,33.000000000000,
10005,白肉雞,101,36.000000000000,
10005,白肉雞,100,39.000000000000,
10005,蛋雞,113,62.000000000000,
10005,蛋雞,112,61.000000000000,
10005,蛋雞,111,54.000000000000,
10005,蛋雞,110,51.000000000000,
10005,蛋雞,109,47.000000000000,
10005,蛋雞,108,41.000000000000,
10005,蛋雞,107,37.000000000000,
10005,蛋雞,106,37.000000000000,
10005,蛋雞,105,35.000000000000,
10005,蛋雞,104,32.000000000000,
10005,蛋雞,103,30.000000000000,
10005,蛋雞,102,29.000000000000,
10005,蛋雞,101,28.000000000000,
10005,蛋雞,100,25.000000000000,
10005,火雞,113,0.000000000000,
10005,火雞,112,0.000000000000,
10005,火雞,111,0.000000000000,
10005,火雞,110,0.000000000000,
10005,火雞,109,0.000000000000,
10005,火雞,108,0.000000000000,
10005,火雞,106,0.000000000000,
10005,火雞,105,0.000000000000,
10005,火雞,104,0.000000000000,
10005,火雞,103,1.000000000000,
10005,火雞,102,0.000000000000,
10005,火雞,101,0.000000000000,
10005,火雞,100,0.000000000000,
10005,鵝,113,4.000000000000,
10005,鵝,112,8.000000000000,
10005,鵝,111,8.000000000000,
10005,鵝,110,8.000000000000,
10005,鵝,109,8.000000000000,
10005,鵝,108,7.000000000000,
10005,鵝,107,6.000000000000,
10005,鵝,106,5.000000000000,
10005,鵝,105,4.000000000000,
10005,鵝,104,4.000000000000,
10005,鵝,103,6.000000000000,
10005,鵝,102,4.000000000000,
10005,鵝,101,5.000000000000,
10005,鵝,100,6.000000000000,
10005,鴨,113,7.000000000000,
10005,鴨,112,7.000000000000,
10005,鴨,111,9.000000000000,
10005,鴨,110,7.000000000000,
10005,鴨,109,8.000000000000,
10005,鴨,108,7.000000000000,
10005,鴨,107,5.000000000000,
10005,鴨,106,4.000000000000,
10005,鴨,105,5.000000000000,
10005,鴨,104,5.000000000000,
10005,鴨,103,5.000000000000,
10005,鴨,102,4.000000000000,
10005,鴨,101,5.000000000000,
10005,鴨,100,5.000000000000,
10005,雞,113,188.000000000000,
10005,雞,112,188.000000000000,
10005,雞,111,194.000000000000,
10005,雞,110,201.000000000000,
10005,雞,109,194.000000000000,
10005,雞,108,187.000000000000,
10005,雞,107,186.000000000000,
10005,雞,106,186.000000000000,
10005,雞,105,178.000000000000,
10005,雞,104,181.000000000000,
10005,雞,103,189.000000000000,
10005,雞,102,188.000000000000,
10005,雞,101,197.000000000000,
10005,雞,100,183.000000000000,
10004,有色肉雞,113,87.000000000000,
10004,有色肉雞,112,85.000000000000,
10004,有色肉雞,111,88.000000000000,
10004,有色肉雞,110,99.000000000000,
10004,有色肉雞,109,97.000000000000,
10004,有色肉雞,108,94.000000000000,
10004,有色肉雞,107,96.000000000000,
10004,有色肉雞,106,111.000000000000,
10004,有色肉雞,105,107.000000000000,
10004,有色肉雞,104,107.000000000000,
10004,有色肉雞,103,93.000000000000,
10004,有色肉雞,102,95.000000000000,
10004,有色肉雞,101,101.000000000000,
10004,有色肉雞,100,108.000000000000,
10004,白肉雞,113,38.000000000000,
10004,白肉雞,112,37.000000000000,
10004,白肉雞,111,39.000000000000,
10004,白肉雞,110,39.000000000000,
10004,白肉雞,109,41.000000000000,
10004,白肉雞,108,39.000000000000,
10004,白肉雞,107,38.000000000000,
10004,白肉雞,106,41.000000000000,
10004,白肉雞,105,49.000000000000,
10004,白肉雞,104,47.000000000000,
10004,白肉雞,103,50.000000000000,
10004,白肉雞,102,46.000000000000,
10004,白肉雞,101,46.000000000000,
10004,白肉雞,100,44.000000000000,
10004,蛋雞,113,37.000000000000,
10004,蛋雞,112,35.000000000000,
10004,蛋雞,111,38.000000000000,
10004,蛋雞,110,37.000000000000,
10004,蛋雞,109,30.000000000000,
10004,蛋雞,108,28.000000000000,
10004,蛋雞,107,24.000000000000,
10004,蛋雞,106,18.000000000000,
10004,蛋雞,105,16.000000000000,
10004,蛋雞,104,12.000000000000,
10004,蛋雞,103,7.000000000000,
10004,蛋雞,102,7.000000000000,
10004,蛋雞,101,7.000000000000,
10004,蛋雞,100,5.000000000000,
10004,火雞,113,0.000000000000,
10004,火雞,112,2.000000000000,
10004,火雞,111,1.000000000000,
10004,火雞,110,1.000000000000,
10004,火雞,109,1.000000000000,
10004,火雞,108,1.000000000000,
10004,火雞,107,1.000000000000,
10004,火雞,106,1.000000000000,
10004,火雞,105,0.000000000000,
10004,火雞,104,1.000000000000,
10004,鵝,113,3.000000000000,
10004,鵝,112,4.000000000000,
10004,鵝,111,6.000000000000,
10004,鵝,110,5.000000000000,
10004,鵝,109,4.000000000000,
10004,鵝,108,3.000000000000,
10004,鵝,107,3.000000000000,
10004,鵝,106,2.000000000000,
10004,鵝,105,4.000000000000,
10004,鵝,104,1.000000000000,
10004,鵝,103,2.000000000000,
10004,鵝,102,3.000000000000,
10004,鵝,101,3.000000000000,
10004,鵝,100,3.000000000000,
10004,鴨,113,9.000000000000,
10004,鴨,112,13.000000000000,
10004,鴨,111,14.000000000000,
10004,鴨,110,12.000000000000,
10004,鴨,109,8.000000000000,
10004,鴨,108,9.000000000000,
10004,鴨,107,11.000000000000,
10004,鴨,106,8.000000000000,
10004,鴨,105,10.000000000000,
10004,鴨,104,9.000000000000,
10004,鴨,103,9.000000000000,
10004,鴨,102,10.000000000000,
10004,鴨,101,10.000000000000,
10004,鴨,100,12.000000000000,
10004,雞,113,134.000000000000,
10004,雞,112,139.000000000000,
10004,雞,111,142.000000000000,
10004,雞,110,147.000000000000,
10004,雞,109,142.000000000000,
10004,雞,108,137.000000000000,
10004,雞,107,135.000000000000,
10004,雞,106,146.000000000000,
10004,雞,105,148.000000000000,
10004,雞,104,151.000000000000,
10004,雞,103,139.000000000000,
10004,雞,102,139.000000000000,
10004,雞,101,146.000000000000,
10004,雞,100,146.000000000000,
10003,有色肉雞,103,47.000000000000,
10003,有色肉雞,102,48.000000000000,
10003,有色肉雞,101,47.000000000000,
10003,有色肉雞,100,50.000000000000,
10003,白肉雞,103,73.000000000000,
10003,白肉雞,102,78.000000000000,
10003,白肉雞,101,87.000000000000,
10003,白肉雞,100,89.000000000000,
10003,蛋雞,103,14.000000000000,
10003,蛋雞,102,15.000000000000,
10003,蛋雞,101,13.000000000000,
10003,蛋雞,100,12.000000000000,
10003,火雞,103,1.000000000000,
10003,火雞,102,1.000000000000,
10003,火雞,101,1.000000000000,
10003,火雞,100,1.000000000000,
10003,鵝,103,13.000000000000,
10003,鵝,102,14.000000000000,
10003,鵝,101,14.000000000000,
10003,鵝,100,16.000000000000,
10003,鴨,103,11.000000000000,
10003,鴨,102,13.000000000000,
10003,鴨,101,14.000000000000,
10003,鴨,100,15.000000000000,
10003,雞,103,125.000000000000,
10003,雞,102,131.000000000000,
10003,雞,101,141.000000000000,
10003,雞,100,142.000000000000,
10002,有色肉雞,113,26.000000000000,
10002,有色肉雞,112,26.000000000000,
10002,有色肉雞,111,32.000000000000,
10002,有色肉雞,110,34.000000000000,
10002,有色肉雞,109,35.000000000000,
10002,有色肉雞,108,30.000000000000,
10002,有色肉雞,107,30.000000000000,
10002,有色肉雞,106,25.000000000000,
10002,有色肉雞,105,30.000000000000,
10002,有色肉雞,104,32.000000000000,
10002,有色肉雞,103,35.000000000000,
10002,有色肉雞,102,27.000000000000,
10002,有色肉雞,101,31.000000000000,
10002,有色肉雞,100,35.000000000000,
10002,白肉雞,113,59.000000000000,
10002,白肉雞,112,60.000000000000,
10002,白肉雞,111,60.000000000000,
10002,白肉雞,110,59.000000000000,
10002,白肉雞,109,59.000000000000,
10002,白肉雞,108,58.000000000000,
